,Modelo,cantidad_de_clusteres,tamanos_de_clusteres,silhouette_score,calinski_harabasz_score,davies_bouldin_score,tiempo
0,kmeans,6,[239 232 231 203 186  26],0.4433426875156855,1298.6218291764267,0.7035160927383871,0.0074024200439453125
1,som,6,[243 233 214 190 141  96],0.37001091946050507,878.2559764525837,0.9699915834440511,0.15183663368225098
2,agglomerative,6,[322 222 185 183 172  33],0.40725745489217907,1188.1788641360597,0.7250972820172238,0.02774977684020996
3,dbscan,3,[1072   42    3],0.15627271476360438,71.76812852669094,1.683828501481871,0.007897138595581055
